n,correlation,algorithm,config_name,mean_value,std_value,mean_gap,std_gap,mean_time_ms,std_time_ms,mean_evaluations,std_evaluations,mean_iterations,std_iterations,optimal_rate
50,strongly,GA,GA_MUT_LOW,15833.329999999998,637.5391160984215,0.031778367471726035,0.018995595930176582,87.78720007006996,2.504068210524608,20200.0,0.0,100.0,0.0,0.27999999999999997
50,strongly,GA,GA_POP_200,15837.84,636.0903206306473,0.002911755806120489,0.0027207001565296945,183.3881487500912,2.0814237786322303,40400.0,0.0,100.0,0.0,0.7
50,strongly,GA,GA_POP_50,15825.74,650.4640637438957,0.08286719165724274,0.11264505208059318,45.593958949939406,0.6377660229490385,10100.0,0.0,100.0,0.0,0.27
50,strongly,GA,GA_TOUR_5,15831.070000000002,643.1829427844688,0.0474102798507127,0.05505206015095452,95.37758662005217,1.2847888863278414,20200.0,0.0,100.0,0.0,0.38
50,strongly,SA,SA_BASE,15591.51,685.9186855759382,1.5721123866031521,0.500842869321666,14.594676340075239,0.38162378986296536,5516.0,0.0,2757.0,0.0,0.0
50,strongly,SA,SA_COOL_FAST,15391.670000000002,705.6862539400918,2.8398961592359533,0.6838777356266069,3.5944657898471633,0.08912311123108574,1370.0,0.0,684.0,0.0,0.0
50,strongly,SA,SA_COOL_SLOW,15728.4,658.2544830416616,0.700161322272376,0.31217542639297796,53.907957510054985,3.0672636874630967,20002.0,0.0,10000.0,0.0,0.0
50,strongly,SA,SA_T0_HIGH,15617.52,658.0578947850171,1.4011436967399338,0.4211800440546755,15.974471470144636,0.40718648113600414,6158.0,0.0,3078.0,0.0,0.0
50,strongly,SA,SA_T0_LOW,15238.09,726.4360573680545,3.8157838821324184,0.8939484724390909,12.530005040061951,0.5503502498272207,4596.0,0.0,2297.0,0.0,0.0
50,uncorrelated,GA,GA_BASE,20967.91,1458.7373356205476,0.06407682743152456,0.10391492906070572,89.9451430600675,4.1117328330530665,20200.0,0.0,100.0,0.0,0.71
50,uncorrelated,GA,GA_CROSS_060,20967.370000000003,1460.9664244754028,0.06728304939574606,0.10130163621858841,87.13935026995387,2.2138713004283233,20200.0,0.0,100.0,0.0,0.6900000000000001
50,uncorrelated,GA,GA_CROSS_095,20965.65,1457.5011097765928,0.07449838400561332,0.11489835998222388,90.71344801999658,1.683098679484947,20200.0,0.0,100.0,0.0,0.6599999999999999
50,uncorrelated,GA,GA_MUT_HIGH,20972.879999999997,1466.1640652472095,0.04244857990036349,0.06864483165197699,94.24222841003939,5.504546244973655,20200.0,0.0,100.0,0.0,0.79
50,uncorrelated,GA,GA_MUT_LOW,20965.47,1459.6672109689166,0.07600080748253105,0.09448085144495863,86.66179748990544,2.8851139314381333,20200.0,0.0,100.0,0.0,0.61
50,uncorrelated,GA,GA_POP_200,20974.56,1466.5060784811703,0.03453405850378342,0.055658693814736544,182.1886932200141,12.189261694059967,40400.0,0.0,100.0,0.0,0.8
50,uncorrelated,GA,GA_POP_50,20964.03,1459.5375280090152,0.08284034092855516,0.10365100030594261,45.03996241975983,1.8401393923432456,10100.0,0.0,100.0,0.0,0.5900000000000001
50,uncorrelated,GA,GA_TOUR_5,20966.91,1460.3730097706766,0.06931986079875496,0.08866662400133621,93.79016377988592,2.2442814722647535,20200.0,0.0,100.0,0.0,0.64
