instance_id,n,correlation,algorithm,config_name,run,seed,best_value_found,best_weight_found,optimum_value,gap_percent,execution_time_ms,evaluations,iterations_executed
n100_strongly_00,100,strongly,GA,GA_CROSS_095,3,20260709,33049,26049,33050,0.0030257186081694403,172.45870499937155,20200,100
n100_strongly_00,100,strongly,GA,GA_CROSS_095,4,20260710,33049,26049,33050,0.0030257186081694403,155.64428300058353,20200,100
n100_strongly_00,100,strongly,GA,GA_CROSS_095,5,20260711,33049,26049,33050,0.0030257186081694403,154.19799000119383,20200,100
n100_strongly_00,100,strongly,GA,GA_CROSS_095,6,20260712,33049,26049,33050,0.0030257186081694403,156.58160699967993,20200,100
n100_strongly_00,100,strongly,GA,GA_CROSS_095,7,20260713,33049,26049,33050,0.0030257186081694403,160.85838100116234,20200,100
n100_strongly_00,100,strongly,GA,GA_CROSS_095,8,20260714,33049,26049,33050,0.0030257186081694403,156.06639399993583,20200,100
n100_strongly_00,100,strongly,GA,GA_CROSS_095,9,20260715,33049,26049,33050,0.0030257186081694403,155.7065139986662,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_LOW,0,20260706,33050,26050,33050,0.0,145.8932920013467,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_LOW,1,20260707,33050,26050,33050,0.0,157.85885700097424,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_LOW,2,20260708,33041,26041,33050,0.02723146747352496,156.65688999979466,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_LOW,3,20260709,33048,26048,33050,0.006051437216338881,146.26129700081947,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_LOW,4,20260710,33043,26043,33050,0.02118003025718608,145.6765800012363,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_LOW,5,20260711,33050,26050,33050,0.0,145.21083500039822,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_LOW,6,20260712,33045,26045,33050,0.0151285930408472,144.74909199998365,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_LOW,7,20260713,33049,26049,33050,0.0030257186081694403,150.86733300086053,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_LOW,8,20260714,33049,26049,33050,0.0030257186081694403,145.2144220002083,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_LOW,9,20260715,33049,26049,33050,0.0030257186081694403,146.70303299863008,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_HIGH,0,20260706,33036,26036,33050,0.04236006051437216,159.31626900055562,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_HIGH,1,20260707,33047,26047,33050,0.009077155824508321,159.53745099977823,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_HIGH,2,20260708,33039,26039,33050,0.03328290468986384,161.07022399955895,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_HIGH,3,20260709,33050,26050,33050,0.0,160.89018999991822,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_HIGH,4,20260710,33048,26048,33050,0.006051437216338881,162.67497599983471,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_HIGH,5,20260711,33044,26044,33050,0.018154311649016642,159.70127599939588,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_HIGH,6,20260712,33046,26046,33050,0.012102874432677761,158.55299700160685,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_HIGH,7,20260713,33036,26036,33050,0.04236006051437216,162.43236400077876,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_HIGH,8,20260714,33035,26035,33050,0.0453857791225416,158.85374100071203,20200,100
n100_strongly_00,100,strongly,GA,GA_MUT_HIGH,9,20260715,33045,26045,33050,0.0151285930408472,161.50912400007655,20200,100
n100_strongly_00,100,strongly,GA,GA_TOUR_5,0,20260706,33045,26045,33050,0.0151285930408472,161.25895700133697,20200,100
n100_strongly_00,100,strongly,GA,GA_TOUR_5,1,20260707,33049,26049,33050,0.0030257186081694403,155.38888599985512,20200,100
n100_strongly_00,100,strongly,GA,GA_TOUR_5,2,20260708,33038,26038,33050,0.036308623298033284,157.71320699968783,20200,100
n100_strongly_00,100,strongly,GA,GA_TOUR_5,3,20260709,33046,26046,33050,0.012102874432677761,157.80437600005826,20200,100
n100_strongly_00,100,strongly,GA,GA_TOUR_5,4,20260710,32945,26045,33050,0.3177004538577912,157.08280800026841,20200,100
n100_strongly_00,100,strongly,GA,GA_TOUR_5,5,20260711,33041,26041,33050,0.02723146747352496,156.70832799878553,20200,100
n100_strongly_00,100,strongly,GA,GA_TOUR_5,6,20260712,33050,26050,33050,0.0,157.04733500024304,20200,100
n100_strongly_00,100,strongly,GA,GA_TOUR_5,7,20260713,33048,26048,33050,0.006051437216338881,158.16069699940272,20200,100
n100_strongly_00,100,strongly,GA,GA_TOUR_5,8,20260714,33050,26050,33050,0.0,156.10840899898903,20200,100
n100_strongly_00,100,strongly,GA,GA_TOUR_5,9,20260715,33045,26045,33050,0.0151285930408472,156.3259480008128,20200,100
n100_strongly_00,100,strongly,SA,SA_BASE,0,20260706,32513,25913,33050,1.6248108925869895,26.200969999990775,5516,2757
n100_strongly_00,100,strongly,SA,SA_BASE,1,20260707,32247,26047,33050,2.4296520423600603,25.021228000696283,5516,2757
n100_strongly_00,100,strongly,SA,SA_BASE,2,20260708,32442,26042,33050,1.8396369137670197,25.61431799949787,5516,2757
n100_strongly_00,100,strongly,SA,SA_BASE,3,20260709,32630,26030,33050,1.2708018154311649,25.43555600095715,5516,2757
n100_strongly_00,100,strongly,SA,SA_BASE,4,20260710,32024,26024,33050,3.104387291981846,25.61113999945519,5516,2757
n100_strongly_00,100,strongly,SA,SA_BASE,5,20260711,32213,26013,33050,2.5325264750378214,24.859592000211705,5516,2757
n100_strongly_00,100,strongly,SA,SA_BASE,6,20260712,32143,26043,33050,2.7443267776096825,25.013456999658956,5516,2757
n100_strongly_00,100,strongly,SA,SA_BASE,7,20260713,32080,25980,33050,2.934947049924357,25.906605998898158,5516,2757
n100_strongly_00,100,strongly,SA,SA_BASE,8,20260714,32439,26039,33050,1.8487140695915278,25.324902000647853,5516,2757
n100_strongly_00,100,strongly,SA,SA_BASE,9,20260715,32332,26032,33050,2.172465960665658,25.441525998758152,5516,2757
n100_strongly_00,100,strongly,SA,SA_COOL_FAST,0,20260706,31536,26036,33050,4.580937972768533,6.285593999564298,1370,684
n100_strongly_00,100,strongly,SA,SA_COOL_FAST,1,20260707,31931,26031,33050,3.385779122541604,6.23876000099699,1370,684
n100_strongly_00,100,strongly,SA,SA_COOL_FAST,2,20260708,32035,26035,33050,3.071104387291982,6.715703999361722,1370,684
